GISAID_isolate_id,genotype_profile,genotype_label,USDA_genotype
EPI_ISL_18132617,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132618,3_1_1_1_1_1_1_1,H5N1/2022/R3,B4.1
EPI_ISL_18132619,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132620,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132621,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132622,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132623,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132624,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132625,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132626,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132627,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132628,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132629,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132630,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132631,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132632,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132633,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132634,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132635,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132636,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132637,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132638,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132639,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132640,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132641,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132642,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132643,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132644,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132645,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132646,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132647,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132648,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132649,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132650,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132651,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132652,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132653,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132654,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132655,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132656,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132657,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132658,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132659,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132660,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132661,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132662,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132663,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132664,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132665,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132666,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132667,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132668,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132669,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132670,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132671,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132672,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132676,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132677,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132678,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132679,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132688,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132689,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132690,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132691,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132692,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132693,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132694,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132695,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132696,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132697,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132698,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132699,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132700,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132701,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132702,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132703,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132736,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132737,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132738,2_1_1_1_1_1_1_1,H5N1/2022/R2,B5.1
EPI_ISL_18132739,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132740,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132741,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132742,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132743,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132744,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132745,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132746,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132747,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132748,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132749,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132750,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132751,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132752,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132753,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132754,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132755,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132756,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132757,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132758,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132759,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132760,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132761,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132762,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132763,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132764,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132765,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132766,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132767,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132768,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132769,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132770,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132771,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132772,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132773,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132774,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132775,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132776,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132777,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132778,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132779,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132780,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132781,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132782,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132783,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132784,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132785,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132786,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132787,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132788,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132789,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132790,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132791,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132792,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132793,4_1_1_1_1_1_1_1,H5N1/2022/R4,Notassigned
EPI_ISL_18132794,4_1_1_1_1_1_1_1,H5N1/2022/R4,Minor01
EPI_ISL_18132795,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132796,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132797,4_1_1_1_1_1_1_1,H5N1/2022/R4,Notassigned
EPI_ISL_18132798,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132799,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132800,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132801,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132802,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132803,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132804,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132805,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132806,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132807,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132808,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132809,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132810,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132811,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132812,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132813,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132814,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132815,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132816,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132817,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132818,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132819,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132820,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132821,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132822,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132823,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132824,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132825,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132826,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132827,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132828,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132829,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132830,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132831,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132832,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132833,2_1_1_1_1_1_1_1,H5N1/2022/R2,Minor12
EPI_ISL_18132834,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132835,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132837,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132838,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132839,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132841,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132842,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132843,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132845,5_1_1_1_1_1_1_1,H5N1/2022/R6,B3.1
EPI_ISL_18132846,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132847,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132849,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132850,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132851,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132853,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132854,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132855,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132856,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132857,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132858,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132859,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132860,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132861,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132862,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132863,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132864,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132865,2_1_1_1_1_1_1_1,H5N1/2022/R2,B5.1
EPI_ISL_18132866,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132867,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132868,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132869,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132870,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132871,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132872,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132873,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132874,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132875,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132876,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132877,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132878,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132879,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132880,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132881,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132882,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132883,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132884,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132885,3_1_1_1_1_1_1_1,H5N1/2022/R3,Minor08
EPI_ISL_18132886,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132887,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132888,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132889,3_1_1_1_1_1_1_1,H5N1/2022/R3,Minor08
EPI_ISL_18132890,3_1_1_1_1_1_1_1,H5N1/2022/R3,B4.1
EPI_ISL_18132891,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132892,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132893,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132895,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132896,2_1_1_1_2_1_1_1,H5N1/2020/R1,A2
EPI_ISL_18132897,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132899,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132900,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132901,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132902,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132903,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132904,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132905,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132906,4_1_1_1_1_1_1_2,H5N1/2022/R8,B2.2
EPI_ISL_18132907,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132908,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132909,4_1_1_1_1_1_1_1,H5N1/2022/R4,Minor13
EPI_ISL_18132910,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132911,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132912,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132913,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132914,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132915,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132916,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132917,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132918,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132919,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132920,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132921,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132922,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132923,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132924,5_3_1_1_1_1_1_2,H5N1/2022/R7,B3.2
EPI_ISL_18132925,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132926,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132927,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132928,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132929,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132930,4_1_1_1_1_1_1_1,H5N1/2022/R4,Minor01
EPI_ISL_18132931,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132932,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132933,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132934,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132935,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132936,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132937,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132938,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132939,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132940,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132941,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132942,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132943,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132944,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132945,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132946,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132947,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132948,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132949,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132950,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132951,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132952,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132953,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18132954,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132955,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132956,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132957,2_1_1_1_2_1_1_1,H5N1/2020/R1,A3
EPI_ISL_18132958,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132959,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132960,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132961,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132962,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132963,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132964,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132966,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132967,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132968,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132970,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132971,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132972,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132973,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132974,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132975,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132976,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
EPI_ISL_18132977,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132978,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132979,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132980,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132981,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132982,4_1_1_1_1_1_1_1,H5N1/2022/R4,Minor01
EPI_ISL_18132983,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132984,2_1_1_1_2_1_1_1,H5N1/2020/R1,A1
EPI_ISL_18132986,4_1_1_1_1_1_1_1,H5N1/2022/R4,B2.1
EPI_ISL_18132987,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132988,4_5_1_1_1_1_1_1,H5N1/2022/R1,B1.1
EPI_ISL_18132990,4_5_5_1_1_1_1_1,H5N1/2022/R5,B1.2
